"key","EN","UK","RU","ES","IT","DE","KO","NL","FR","PT","ZH_TW","ZH","PL","CS"
"field.crop_left.label","Left, pixels","Ліворуч, пікселів","Слева, пикселей","Izquierda, píxeles","Sinistra, pixel","Links, Pixel","왼쪽, 픽셀","Links, pixels","Gauche, pixels","Esquerda, pixels","左側，像素","左侧，像素","Lewo, piksele","Vlevo, pixely"
"field.crop_left.description","How many pixels to remove from the left edge.","Скільки пікселів видалити з лівого краю.","Сколько пикселей удалить с левого края.","Píxeles a quitar del borde izquierdo.","Pixel da rimuovere dal bordo sinistro.","Pixel vom linken Rand entfernen.","왼쪽 가장자리에서 제거할 픽셀 수.","Pixels van linkerrand verwijderen.","Pixels à retirer du bord gauche.","Pixels a remover da borda esquerda.","從左邊移除多少像素。","从左边移除多少像素。","Ile pikseli usunąć z lewej krawędzi.","Kolik pixelů odstranit zleva."
"field.crop_right.label","Right, pixels","Праворуч, пікселів","Справа, пикселей","Derecha, píxeles","Destra, pixel","Rechts, Pixel","오른쪽, 픽셀","Rechts, pixels","Droite, pixels","Direita, pixels","右側，像素","右侧，像素","Prawo, piksele","Vpravo, pixely"
"field.crop_right.description","How many pixels to remove from the right edge.","Скільки пікселів видалити з правого краю.","Сколько пикселей удалить с правого края.","Píxeles a quitar del borde derecho.","Pixel da rimuovere dal bordo destro.","Pixel vom rechten Rand entfernen.","오른쪽 가장자리에서 제거할 픽셀 수.","Pixels van rechterrand verwijderen.","Pixels à retirer du bord droit.","Pixels a remover da borda direita.","從右邊移除多少像素。","从右边移除多少像素。","Ile pikseli usunąć z prawej krawędzi.","Kolik pixelů odstranit zprava."
"field.crop_top.label","Top, pixels","Зверху, пікселів","Сверху, пикселей","Arriba, píxeles","Alto, pixel","Oben, Pixel","위, 픽셀","Boven, pixels","Haut, pixels","Topo, pixels","上方，像素","上方，像素","Góra, piksele","Nahoře, pixely"
"field.crop_top.description","How many pixels to remove from the top edge.","Скільки пікселів видалити зверху.","Сколько пикселей удалить сверху.","Píxeles a quitar de arriba.","Pixel da rimuovere dall'alto.","Pixel oben entfernen.","위쪽에서 제거할 픽셀 수.","Pixels van bovenrand verwijderen.","Pixels à retirer en haut.","Pixels a remover do topo.","從上方移除多少像素。","从上方移除多少像素。","Ile pikseli usunąć z góry.","Kolik pixelů odstranit shora."
"field.crop_bottom.label","Bottom, pixels","Знизу, пікселів","Снизу, пикселей","Abajo, píxeles","Basso, pixel","Unten, Pixel","아래, 픽셀","Onder, pixels","Bas, pixels","Baixo, pixels","下方，像素","下方，像素","Dół, piksele","Dole, pixely"
"field.crop_bottom.description","How many pixels to remove from the bottom edge.","Скільки пікселів видалити знизу.","Сколько пикселей удалить снизу.","Píxeles a quitar de abajo.","Pixel da rimuovere dal basso.","Pixel unten entfernen.","아래쪽에서 제거할 픽셀 수.","Pixels van onderrand verwijderen.","Pixels à retirer en bas.","Pixels a remover de baixo.","從下方移除多少像素。","从下方移除多少像素。","Ile pikseli usunąć z dołu.","Kolik pixelů odstranit zdola."
"section.trim.title","5. Trim","5. Обрізка за часом","5. Обрезка по времени","4. Recorte por tiempo","4. Taglio nel tempo","4. Zeitlicher Schnitt","4. 시간 자르기","4. Knippen op tijd","4. Coupe temporelle","4. Corte por tempo","4. 時間剪裁","4. 时间裁剪","4. Przycinanie czasu","4. Časový střih"
"section.trim.description","Remove the start or end of the clip. Values can be seconds or frames; frames are converted using source FPS.","Видаляє початок або кінець ролика. Значення можуть бути в секундах або кадрах; кадри переводяться через FPS джерела.","Эта обрезка удаляет начало или конец ролика. Можно задавать значения в секундах или в кадрах; кадры пересчитываются через FPS исходного видео.","Quita inicio o final. Valores en segundos o fotogramas; se convierten con FPS original.","Rimuove inizio o fine. Valori in secondi o fotogrammi, convertiti con FPS sorgente.","Entfernt Anfang oder Ende. Sekunden oder Frames; Frames werden per Quell-FPS umgerechnet.","클립 시작이나 끝을 제거합니다. 초 또는 프레임 값을 쓰며 원본 FPS로 변환합니다.","Verwijdert begin of einde. Waarden in seconden of frames; frames via bron-FPS.","Retire le début ou la fin. Secondes ou images, converties avec le FPS source.","Remove início ou fim. Valores em segundos ou quadros, convertidos pelo FPS.","移除片段開頭或結尾；可用秒或影格，影格會依來源 FPS 轉換。","移除片段开头或结尾；可用秒或帧，帧会按源 FPS 转换。","Usuwa początek lub koniec. Sekundy albo klatki, przeliczane przez FPS źródła.","Odstraní začátek nebo konec. Sekundy nebo snímky, přepočet podle FPS zdroje."
"field.trim_mode.label","-ss / -t (trim mode)","-ss / -t (режим обрізки)","-ss / -t (режим обрезки)","Modo de recorte temporal","Modalità taglio tempo","Zeit-Schnittmodus","시간 자르기 모드","Tijdknipmodus","Mode coupe temporelle","Modo de corte por tempo","時間剪裁模式","时间裁剪模式","Tryb przycinania czasu","Režim časového střihu"
"field.trim_mode.description","Choose seconds for quick trimming or frames for exact frame counts from the start or end.","Виберіть секунди для швидкої обрізки або кадри для точної кількості кадрів з початку чи кінця.","Выберите секунды, если нужно быстро убрать кусок по времени. Выберите кадры, если нужно точное количество кадров от начала или конца.","Usa segundos para rapidez o fotogramas para cantidad exacta desde inicio o fin.","Usa secondi per rapidità o fotogrammi per conteggio esatto.","Sekunden für schnellen Schnitt, Frames für genaue Anzahl nutzen.","빠른 자르기는 초, 정확한 프레임 수는 프레임을 선택하세요.","Kies seconden voor snel knippen of frames voor exacte aantallen.","Choisissez secondes pour vite couper ou images pour un nombre exact.","Escolha segundos para rapidez ou quadros para contagem exata.","秒適合快速剪裁，影格適合從頭或尾精確指定數量。","秒适合快速裁剪，帧适合从头或尾精确指定数量。","Sekundy do szybkiego cięcia, klatki do dokładnej liczby.","Sekundy pro rychlý střih, snímky pro přesný počet."
"field.trim_start_seconds.label","From start, seconds","З початку, секунд","С начала, секунд","Desde inicio, segundos","Da inizio, secondi","Vom Anfang, Sekunden","시작부터, 초","Vanaf begin, seconden","Depuis le début, secondes","Do início, segundos","從開頭，秒","从开头，秒","Od początku, sekundy","Od začátku, sekundy"
"field.trim_start_seconds.description","Seconds to remove from the start. Used when mode is seconds. Decimal values are allowed, for example 1.5.","Скільки секунд видалити з початку. Працює в режимі секунд. Можна дробові, наприклад 1.5.","Сколько секунд удалить от начала видео. Работает, когда выбран режим 'Обрезать в секундах'. Можно писать дробные значения, например 1.5.","Segundos a quitar del inicio. Usa modo segundos. Acepta decimales, por ejemplo 1.5.","Secondi da togliere dall'inizio. Usa modalità secondi. Decimali ammessi, es. 1.5.","Sekunden vom Anfang entfernen. Nur im Sekundenmodus. Dezimalwerte wie 1.5 möglich.","시작에서 제거할 초. 초 모드에서 사용. 1.5 같은 소수 가능.","Seconden vanaf begin verwijderen. Bij secondenmodus. Decimalen zoals 1.5 mogen.","Secondes à retirer au début. Mode secondes. Décimales admises, ex. 1.5.","Segundos a remover do início. Modo segundos. Aceita decimais, ex. 1.5.","從開頭移除的秒數。秒模式使用，可輸入 1.5。","从开头移除的秒数。秒模式使用，可输入 1.5。","Sekundy do usunięcia z początku. Tryb sekund. Można 1.5.","Sekundy odstranit od začátku. Režim sekund. Lze 1.5."
"field.trim_end_seconds.label","From end, seconds","З кінця, секунд","С конца, секунд","Desde final, segundos","Da fine, secondi","Vom Ende, Sekunden","끝에서, 초","Vanaf einde, seconden","Depuis la fin, secondes","Do fim, segundos","從結尾，秒","从结尾，秒","Od końca, sekundy","Od konce, sekundy"
"field.trim_end_seconds.description","Seconds to remove from the end. Used when mode is seconds.","Скільки секунд видалити з кінця. Працює в режимі секунд.","Сколько секунд удалить от конца видео. Работает, когда выбран режим 'Обрезать в секундах'.","Segundos a quitar del final. Usa modo segundos.","Secondi da togliere dalla fine. Usa modalità secondi.","Sekunden vom Ende entfernen. Nur im Sekundenmodus.","끝에서 제거할 초. 초 모드에서 사용.","Seconden vanaf einde verwijderen. Bij secondenmodus.","Secondes à retirer à la fin. Mode secondes.","Segundos a remover do fim. Modo segundos.","從結尾移除的秒數。秒模式使用。","从结尾移除的秒数。秒模式使用。","Sekundy do usunięcia z końca. Tryb sekund.","Sekundy odstranit od konce. Režim sekund."
"field.trim_start_frames.label","From start, frames","З початку, кадрів","С начала, кадров","Desde inicio, fotogramas","Da inizio, fotogrammi","Vom Anfang, Frames","시작부터, 프레임","Vanaf begin, frames","Depuis le début, images","Do início, quadros","從開頭，影格","从开头，帧","Od początku, klatki","Od začátku, snímky"
"field.trim_start_frames.description","Frames to remove from the start. Source FPS is used to convert frames to seconds for ffmpeg.","Скільки кадрів видалити з початку. FPS джерела переводить кадри в секунди для ffmpeg.","Сколько кадров удалить от начала видео. Программа берет FPS из исходника и переводит кадры в секунды для ffmpeg.","Fotogramas a quitar del inicio. El FPS original convierte a segundos para ffmpeg.","Fotogrammi da togliere dall'inizio. FPS sorgente li converte in secondi per ffmpeg.","Frames vom Anfang. Quell-FPS rechnet sie für ffmpeg in Sekunden um.","시작에서 제거할 프레임. 원본 FPS로 ffmpeg용 초로 변환합니다.","Frames vanaf begin. Bron-FPS zet om naar seconden voor ffmpeg.","Images à retirer au début. Le FPS source convertit en secondes pour ffmpeg.","Quadros a remover do início. FPS original converte para segundos no ffmpeg.","從開頭移除的影格數；依來源 FPS 轉成 ffmpeg 秒數。","从开头移除的帧数；按源 FPS 转成 ffmpeg 秒数。","Klatki do usunięcia z początku. FPS źródła przelicza na sekundy.","Snímky odstranit od začátku. FPS zdroje je převede na sekundy."
"field.trim_end_frames.label","From end, frames","З кінця, кадрів","С конца, кадров","Desde final, fotogramas","Da fine, fotogrammi","Vom Ende, Frames","끝에서, 프레임","Vanaf einde, frames","Depuis la fin, images","Do fim, quadros","從結尾，影格","从结尾，帧","Od końca, klatki","Od konce, snímky"
"field.trim_end_frames.description","Frames to remove from the end. Used when mode is frames.","Скільки кадрів видалити з кінця. Працює в режимі кадрів.","Сколько кадров удалить от конца видео. Работает, когда выбран режим 'Обрезать в кадрах'.","Fotogramas a quitar del final. Usa modo fotogramas.","Fotogrammi da togliere dalla fine. Usa modalità fotogrammi.","Frames vom Ende entfernen. Nur im Frame-Modus.","끝에서 제거할 프레임. 프레임 모드에서 사용.","Frames vanaf einde verwijderen. Bij framemodus.","Images à retirer à la fin. Mode images.","Quadros a remover do fim. Modo quadros.","從結尾移除的影格數。影格模式使用。","从结尾移除的帧数。帧模式使用。","Klatki do usunięcia z końca. Tryb klatek.","Snímky odstranit od konce. Režim snímků."
"section.quality.title","7. Codec and compression","7. Кодек і стиснення","7. Кодек и сжатие","5. Calidad y tamaño","5. Qualità e dimensione","5. Qualität und Dateigröße","5. 품질과 파일 크기","5. Kwaliteit en bestandsgrootte","5. Qualité et taille","5. Qualidade e tamanho","5. 品質與檔案大小","5. 质量与文件大小","5. Jakość i rozmiar pliku","5. Kvalita a velikost"
"section.quality.description","Controls -c:v, -preset, and -crf. WebM automatically uses VP9 when an H.264/H.265 codec would not fit.","Керує -c:v, -preset і -crf. Для WebM автоматично вибирається VP9, якщо H.264/H.265 не підходить.","Управляет -c:v, -preset и -crf. Для WebM автоматически выбирается VP9, если H.264/H.265 не подходит.","Los parámetros técnicos están en modos claros. Más calidad significa archivo mayor.","Parametri tecnici dietro modalità chiare. Più qualità significa file più grande.","Technische Werte stecken hinter klaren Modi. Höhere Qualität bedeutet größere Datei.","기술 값은 쉬운 모드 뒤에 있습니다. 품질이 높을수록 파일이 큽니다.","Technische waarden zitten achter duidelijke modi. Hogere kwaliteit is groter bestand.","Les paramètres techniques sont dans des modes lisibles. Plus de qualité, fichier plus gros.","Parâmetros técnicos ficam em modos claros. Mais qualidade, arquivo maior.","技術參數用清楚模式呈現；品質越高檔案越大。","技术参数用清楚模式呈现；质量越高文件越大。","Parametry techniczne są w czytelnych trybach. Wyższa jakość to większy plik.","Technické parametry jsou ve srozumitelných režimech. Vyšší kvalita znamená větší soubor."
"field.quality_profile.label","-crf (quality)","-crf (якість)","-crf (качество)","Calidad de imagen","Qualità immagine","Bildqualität","화질","Beeldkwaliteit","Qualité d'image","Qualidade da imagem","畫質","画质","Jakość obrazu","Kvalita obrazu"
"field.quality_profile.description","Draft and small file compress harder. High quality keeps more detail.","Чернетка та малий файл стискають сильніше. Висока якість зберігає більше деталей.","Черновик и маленький файл сильнее сжимают видео. Высокое качество сохраняет больше деталей.","Borrador y pequeño comprimen más. Alta calidad conserva más detalle.","Bozza e piccolo comprimono di più. Alta qualità conserva dettagli.","Entwurf und kleine Datei komprimieren stärker. Hoch erhält mehr Details.","초안/작은 파일은 더 많이 압축합니다. 고품질은 세부를 더 보존합니다.","Concept en klein comprimeren sterker. Hoog bewaart meer details.","Brouillon et petit fichier compressent plus. Haute qualité garde plus de détails.","Rascunho e pequeno comprimem mais. Alta qualidade preserva detalhes.","草稿與小檔案壓縮較強；高品質保留更多細節。","草稿与小文件压缩更强；高质量保留更多细节。","Szkic i mały plik mocniej kompresują. Wysoka jakość zachowuje szczegóły.","Náhled a malý soubor více komprimují. Vysoká kvalita zachová detaily."
"field.encoding_speed.label","-preset (encoding speed)","-preset (швидкість кодування)","-preset (скорость кодирования)","Velocidad de procesamiento","Velocità elaborazione","Verarbeitungsgeschwindigkeit","처리 속도","Verwerkingssnelheid","Vitesse de traitement","Velocidade de processamento","處理速度","处理速度","Szybkość przetwarzania","Rychlost zpracování"
"field.encoding_speed.description","Fast mode finishes sooner. Smaller file mode takes longer but compresses better.","Швидкий режим завершується раніше. Режим малого файлу працює довше, але стискає краще.","Быстрый режим быстрее завершится. Режим 'файл меньше' работает дольше, зато лучше сжимает.","Rápido termina antes. Archivo menor tarda más pero comprime mejor.","Veloce finisce prima. File piccolo dura di più ma comprime meglio.","Schnell endet früher. Kleine Datei dauert länger, komprimiert besser.","빠른 모드는 빨리 끝납니다. 작은 파일 모드는 느리지만 압축이 좋습니다.","Snel is eerder klaar. Klein bestand duurt langer maar comprimeert beter.","Rapide finit plus tôt. Petit fichier prend plus de temps mais compresse mieux.","Rápido termina antes. Arquivo menor demora mais, mas comprime melhor.","快速模式較快完成；小檔案模式較久但壓縮更好。","快速模式更快完成；小文件模式更久但压缩更好。","Szybki tryb kończy wcześniej. Mały plik trwa dłużej, ale lepiej kompresuje.","Rychlý režim skončí dřív. Menší soubor trvá déle, ale lépe komprimuje."
"field.video_codec.label","-c:v (video codec)","-c:v (відеокодек)","-c:v (видеокодек)","Códec de video","Codec video","Videocodec","비디오 코덱","Videocodec","Codec vidéo","Codec de vídeo","影片編碼器","视频编码器","Kodek wideo","Video kodek"
"field.video_codec.description","Exact codec passed to ffmpeg through -c:v. copy avoids re-encoding only when no filters are needed.","Точний кодек для ffmpeg через -c:v. copy не перекодовує лише коли фільтри не потрібні.","Конкретный кодек, который будет передан в ffmpeg через -c:v. Если выбран copy, видео не перекодируется только когда нет фильтров.","Códec exacto para ffmpeg con -c:v. copy evita recodificar solo sin filtros.","Codec esatto per ffmpeg con -c:v. copy evita ricodifica solo senza filtri.","Exakter Codec für ffmpeg per -c:v. copy vermeidet Neukodierung nur ohne Filter.","-c:v로 ffmpeg에 전달할 정확한 코덱입니다. copy는 필터가 없을 때만 재인코딩을 피합니다.","Exacte codec voor ffmpeg via -c:v. copy hercodeert alleen niet zonder filters.","Codec exact passé à ffmpeg via -c:v. copy évite le réencodage seulement sans filtres.","Codec exato para ffmpeg via -c:v. copy evita recodificar só sem filtros.","透過 -c:v 傳給 ffmpeg 的實際編碼器；copy 只在無濾鏡時避免重編碼。","通过 -c:v 传给 ffmpeg 的实际编码器；copy 只在无滤镜时避免重编码。","Dokładny kodek dla ffmpeg przez -c:v. copy unika kodowania tylko bez filtrów.","Přesný kodek pro ffmpeg přes -c:v. copy bez překódování jen bez filtrů."
"section.audio.title","8. Audio filter chain","8. Ланцюжок аудіофільтрів","8. Цепочка аудиофильтров","6. Sonido","6. Audio","6. Ton","6. 소리","6. Geluid","6. Son","6. Som","6. 聲音","6. 声音","6. Dźwięk","6. Zvuk"
"section.audio.description","Audio output extracts sound. If the source has no sound, FFmpeg creates silence so batch jobs do not break.","Аудіовихід витягує звук. Якщо у джерелі немає звуку, FFmpeg створює тишу, щоб batch-задачі не ламалися.","Аудиовыход извлекает звук. Если в источнике нет звука, FFmpeg создаёт тишину, чтобы batch-задачи не ломались.","Si no hay audio y el sonido está activo, se agrega una pista silenciosa.","Se la sorgente non ha audio e l'audio è attivo, si aggiunge traccia silenziosa.","Wenn Quelle keinen Ton hat und Ton aktiv ist, wird eine stille Spur hinzugefügt.","원본에 오디오가 없고 소리가 켜져 있으면 무음 트랙이 추가됩니다.","Als bron geen audio heeft en geluid aan staat, wordt stille track toegevoegd.","Si la source n'a pas d'audio et que le son est activé, une piste silencieuse est ajoutée.","Se a origem não tiver áudio e som estiver ativo, uma faixa silenciosa será adicionada.","來源無音訊且啟用聲音時，會加入空白靜音音軌。","源无音频且启用声音时，会添加空白静音音轨。","Jeśli źródło nie ma audio, a dźwięk jest włączony, dodana będzie cicha ścieżka.","Pokud zdroj nemá audio a zvuk je zapnutý, přidá se tichá stopa."
"field.audio_mode.label","-an / audio map (audio track)","-an / audio map (звукова доріжка)","-an / audio map (звуковая дорожка)","Pista de audio","Traccia audio","Audiospur","오디오 트랙","Audiotrack","Piste audio","Faixa de áudio","音軌","音轨","Ścieżka audio","Zvuková stopa"
"field.audio_mode.description","Choose no sound if audio is not needed. Otherwise sound is kept or a silent track is created.","Виберіть без звуку, якщо аудіо не потрібне. Інакше звук збережеться або створиться тиха доріжка.","Выберите 'без звука', если аудио не нужно. Иначе звук сохранится или будет создана тихая дорожка.","Elige sin sonido si no necesitas audio. Si no, se conserva o crea pista silenciosa.","Scegli senza audio se non serve. Altrimenti si conserva o crea traccia silenziosa.","Ohne Ton wählen, wenn Audio nicht nötig ist. Sonst bleibt Ton oder stille Spur entsteht.","오디오가 필요 없으면 소리 없음을 선택하세요. 아니면 유지하거나 무음 트랙을 만듭니다.","Kies zonder geluid als audio niet nodig is. Anders blijft of wordt stille track gemaakt.","Choisissez sans son si inutile. Sinon le son est gardé ou une piste silencieuse est créée.","Escolha sem som se não precisa. Caso contrário, mantém ou cria faixa silenciosa.","不需要音訊時選擇無聲；否則保留聲音或建立靜音音軌。","不需要音频时选择无声；否则保留声音或创建静音音轨。","Wybierz bez dźwięku, jeśli niepotrzebny. Inaczej zostanie lub powstanie cicha ścieżka.","Vyberte bez zvuku, pokud není potřeba. Jinak zůstane nebo vznikne tichá stopa."
"field.audio_quality.label","-b:a (audio bitrate)","-b:a (бітрейт аудіо)","-b:a (битрейт аудио)","Calidad de sonido","Qualità audio","Tonqualität","음질","Geluidskwaliteit","Qualité sonore","Qualidade do som","音質","音质","Jakość dźwięku","Kvalita zvuku"
"field.audio_quality.description","Normal is enough for most videos. High quality increases file size.","Звичайного режиму достатньо для більшості відео. Висока якість збільшить розмір.","Обычного режима достаточно для большинства видео. Высокое качество увеличит размер файла.","Normal basta para la mayoría. Alta calidad aumenta tamaño.","Normale basta quasi sempre. Alta qualità aumenta dimensione.","Normal reicht meist. Hohe Qualität erhöht Dateigröße.","일반이면 대부분 충분합니다. 고품질은 파일 크기를 늘립니다.","Normaal is meestal genoeg. Hoog vergroot bestand.","Normal suffit souvent. Haute qualité augmente la taille.","Normal basta na maioria. Alta qualidade aumenta o tamanho.","一般模式多數影片足夠；高品質會增加檔案大小。","普通模式多数视频足够；高质量会增加文件大小。","Normalny wystarczy zwykle. Wysoka jakość zwiększa rozmiar.","Normální většinou stačí. Vysoká kvalita zvětší soubor."
"field.audio_volume.label","volume (audio gain)","volume (гучність)","volume (громкость)","Volumen","Volume","Lautstärke","볼륨","Volume","Volume","Volume","音量","音量","Głośność","Hlasitost"
"field.audio_volume.description","1.0 keeps volume unchanged. 0.5 is twice quieter, 2.0 is twice louder.","1.0 лишає гучність як є. 0.5 удвічі тихіше, 2.0 удвічі гучніше.","1.0 оставляет громкость как есть. 0.5 делает тише в два раза, 2.0 делает громче в два раза.","1.0 no cambia. 0.5 es mitad, 2.0 es doble.","1.0 non cambia. 0.5 dimezza, 2.0 raddoppia.","1.0 unverändert. 0.5 halb so laut, 2.0 doppelt so laut.","1.0은 그대로, 0.5는 절반, 2.0은 두 배입니다.","1.0 blijft gelijk. 0.5 half zo luid, 2.0 dubbel.","1.0 ne change rien. 0.5 moitié, 2.0 double.","1.0 mantém. 0.5 metade, 2.0 dobro.","1.0 保持不變；0.5 降半，2.0 加倍。","1.0 保持不变；0.5 降半，2.0 加倍。","1.0 bez zmian. 0.5 dwa razy ciszej, 2.0 dwa razy głośniej.","1.0 beze změny. 0.5 poloviční, 2.0 dvojnásobná."
"workflow.command_preview_title","Generated FFmpeg command (expert preview)","Згенерована команда FFmpeg (перегляд для досвідчених користувачів)","Сгенерированная команда FFmpeg (предпросмотр для опытных пользователей)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)","Generated FFmpeg command (expert preview)"
"workflow.command_preview_error","Command preview is not available yet: {error}","Попередній перегляд команди поки недоступний: {error}","Предпросмотр команды пока недоступен: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}","Command preview is not available yet: {error}"
"section.gif.title","2. GIF from video","2. GIF з відео","2. GIF из видео","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video","2. GIF from video"
"section.gif.description","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF використовує кадри відео з fps/scale плюс palettegen/paletteuse для кращого кольору.","GIF использует кадры видео с fps/scale плюс palettegen/paletteuse для лучшего цвета.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors.","GIF output uses video frames with fps/scale plus palettegen/paletteuse for better colors."
"section.video_filters.title","6. Video filter chain","6. Ланцюжок відеофільтрів","6. Цепочка видеофильтров","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain","6. Video filter chain"
"section.video_filters.description","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Додайте до трьох згрупованих відеофільтрів FFmpeg, потім за потреби допишіть raw -vf ланцюжок.","Добавьте до трёх сгруппированных видеофильтров FFmpeg, затем при необходимости допишите raw -vf цепочку.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain.","Add up to three grouped FFmpeg video filters, then optionally append a raw -vf chain."
"field.gif_width.label","scale width (GIF width in px)","scale width (ширина GIF у px)","scale width (ширина GIF в px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)","scale width (GIF width in px)"
"field.gif_width.description","Passed to scale=WIDTH:-1 for video GIFs.","Передається в scale=WIDTH:-1 для GIF з відео.","Передаётся в scale=WIDTH:-1 для GIF из видео.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs.","Passed to scale=WIDTH:-1 for video GIFs."
"field.gif_fps.label","fps (GIF frames per second)","fps (кадрів GIF за секунду)","fps (кадров GIF в секунду)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)","fps (GIF frames per second)"
"field.gif_fps.description","Lower values make smaller GIFs; higher values look smoother.","Менше значення дає GIF меншого розміру; більше виглядає плавніше.","Меньшее значение даёт GIF меньшего размера; большее выглядит плавнее.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother.","Lower values make smaller GIFs; higher values look smoother."
"field.gif_dither.label","paletteuse dither (GIF color mixing)","paletteuse dither (змішування кольорів GIF)","paletteuse dither (смешивание цветов GIF)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)","paletteuse dither (GIF color mixing)"
"field.gif_dither.description","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Керує paletteuse=dither=... після palettegen. Sierra зазвичай дає кращу якість.","Управляет paletteuse=dither=... после palettegen. Sierra обычно даёт лучшее качество.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality.","Controls paletteuse=dither=... after palettegen. Sierra is usually best quality."
